file,kind,organisation,family,house_style,rows,columns,size_kb,distinct_identities,identities_with_2plus_codes_here,codes_per_identity_mean,pct_with_manufacturer_and_mpn,pct_with_unit_price,distinct_uom,pct_with_stock_on_hand,unique_descriptions,verbatim_duplicate_descriptions,pct_attributes_unknown_after_extraction,po_lines,po_date_from,po_date_to,po_spend_inr,distinct_vendors,distinct_plants,notes
BPCL__bearing_ball.csv,material master (simulated),BPCL,bearing_ball,Heavily abbreviated,95,9,8.8,69,21,1.38,53.7,100.0,3,62.1,95,0,25.7,,,,,,,Bharat Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
BPCL__gasket_spiral_wound.csv,material master (simulated),BPCL,gasket_spiral_wound,Heavily abbreviated,121,9,13.9,103,18,1.17,52.9,100.0,3,66.9,121,0,18.2,,,,,,,Bharat Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
BPCL__hex_bolt.csv,material master (simulated),BPCL,hex_bolt,Heavily abbreviated,257,9,26.2,177,54,1.45,58.4,100.0,5,62.6,256,1,23.2,,,,,,,Bharat Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
BPCL__valve_ball.csv,material master (simulated),BPCL,valve_ball,Heavily abbreviated,99,9,11.5,85,10,1.16,55.6,100.0,1,66.7,99,0,18.3,,,,,,,Bharat Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
CPCL__bearing_ball.csv,material master (simulated),CPCL,bearing_ball,Terse capitals,106,9,10.5,73,28,1.45,58.5,100.0,3,67.9,105,1,23.7,,,,,,,Chennai Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
CPCL__gasket_spiral_wound.csv,material master (simulated),CPCL,gasket_spiral_wound,Terse capitals,104,9,12.2,89,13,1.17,52.9,100.0,3,76.0,104,0,18.1,,,,,,,Chennai Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
CPCL__hex_bolt.csv,material master (simulated),CPCL,hex_bolt,Terse capitals,227,9,22.1,157,50,1.45,58.6,100.0,5,70.5,225,2,24.1,,,,,,,Chennai Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
CPCL__valve_ball.csv,material master (simulated),CPCL,valve_ball,Terse capitals,86,9,10.6,75,10,1.15,58.1,100.0,1,64.0,86,0,19.3,,,,,,,Chennai Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
IOCL__bearing_ball.csv,material master (simulated),IOCL,bearing_ball,Verbose title case,95,9,11.7,67,19,1.42,54.7,100.0,3,68.4,95,0,24.5,,,,,,,Indian Oil Corporation Limited (simulated); every vendor and plant marked (sim)
IOCL__gasket_spiral_wound.csv,material master (simulated),IOCL,gasket_spiral_wound,Verbose title case,113,9,17.4,92,19,1.23,52.2,100.0,3,58.4,113,0,17.9,,,,,,,Indian Oil Corporation Limited (simulated); every vendor and plant marked (sim)
IOCL__hex_bolt.csv,material master (simulated),IOCL,hex_bolt,Verbose title case,217,9,27.2,158,40,1.37,53.9,100.0,5,64.1,216,1,23.9,,,,,,,Indian Oil Corporation Limited (simulated); every vendor and plant marked (sim)
IOCL__valve_ball.csv,material master (simulated),IOCL,valve_ball,Verbose title case,86,9,13.1,81,5,1.06,65.1,100.0,1,69.8,86,0,16.5,,,,,,,Indian Oil Corporation Limited (simulated); every vendor and plant marked (sim)
NTPC__bearing_ball.csv,material master (simulated),NTPC,bearing_ball,Semicolon-delimited attribute list,104,9,12.1,74,24,1.41,50.0,100.0,3,59.6,102,2,25.5,,,,,,,NTPC Limited (simulated); every vendor and plant marked (sim)
NTPC__gasket_spiral_wound.csv,material master (simulated),NTPC,gasket_spiral_wound,Semicolon-delimited attribute list,128,9,17.5,104,19,1.23,56.2,100.0,3,71.1,127,1,16.9,,,,,,,NTPC Limited (simulated); every vendor and plant marked (sim)
NTPC__hex_bolt.csv,material master (simulated),NTPC,hex_bolt,Semicolon-delimited attribute list,230,9,26.1,168,48,1.37,57.0,100.0,5,70.0,228,2,24.8,,,,,,,NTPC Limited (simulated); every vendor and plant marked (sim)
NTPC__valve_ball.csv,material master (simulated),NTPC,valve_ball,Semicolon-delimited attribute list,73,9,9.5,68,5,1.07,47.9,100.0,1,64.4,73,0,19.8,,,,,,,NTPC Limited (simulated); every vendor and plant marked (sim)
BPCL_procurement.csv,procurement history (simulated),BPCL,,,1271,11,158.2,,,,,,,,,,,1271,2022-04-01,2026-03-31,279862900,6,2,"PO lines keyed to source_code; prices in issue units, normalised to base units on import"
CPCL_procurement.csv,procurement history (simulated),CPCL,,,1103,11,137.1,,,,,,,,,,,1103,2022-04-02,2026-03-31,182226635,6,2,"PO lines keyed to source_code; prices in issue units, normalised to base units on import"
IOCL_procurement.csv,procurement history (simulated),IOCL,,,1179,11,146.8,,,,,,,,,,,1179,2022-04-02,2026-03-31,270722566,6,3,"PO lines keyed to source_code; prices in issue units, normalised to base units on import"
NTPC_procurement.csv,procurement history (simulated),NTPC,,,1206,11,149.7,,,,,,,,,,,1206,2022-04-07,2026-03-31,265026232,6,3,"PO lines keyed to source_code; prices in issue units, normalised to base units on import"
labels.csv,ground truth,,,,2141,3,54.4,660,,,,,,,,,,,,,,,,truth_identity per source code; held out from the matcher and read only by the evaluation harness; 4 demo fixtures excluded from scoring
taxonomy/unspsc.xlsx,classification backbone (public),,,,,,458.2,,,,,,,,,,,,,,,,,UNSPSC codeset; each family declares its class (e.g. 31161600 bolts) and the national code carries it
dictionaries/column_aliases.yaml,dictionary (authored),,,,62,,2.6,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/evaluation.yaml,dictionary (authored),,,,124,,7.6,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/families/bearing_ball.yaml,dictionary (authored),,bearing_ball,,251,,8.6,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/families/gasket_spiral_wound.yaml,dictionary (authored),,gasket_spiral_wound,,298,,10.9,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/families/hex_bolt.yaml,dictionary (authored),,hex_bolt,,356,,13.8,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/families/valve_ball.yaml,dictionary (authored),,valve_ball,,283,,9.3,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
