organisation,family,source_code,description,uom,quantity,unit_price,manufacturer,mfr_part_no,stock_on_hand,last_issue_date,truth_identity
BPCL,bearing_ball,BPCL-000001,BRG DGB 6001 BORE 12MM  NO SEAL  C4  PRESSED STEEL,DOZ,1.0,3445.41,TSK,BB12-60-OPEN-C4,100.0,2021-07-01,BE00000
BPCL,bearing_ball,BPCL-000002,BRG DGB 6200 BORE 10MM  RUBBER SEALED  C-4  STEEL CAGE,EA,1.0,298.17,AXL,BB10-62-2RS-C4,0.0,,BE00001
BPCL,bearing_ball,BPCL-000003,BRG DGB 6310 BORE 50MM  2-RS  C-3  MACHINED BRASS,BOX-50,5.0,48872.05,,,3.0,2026-02-18,BE00002
BPCL,bearing_ball,BPCL-000004,BRG DGB 6003 BORE 17MM  DOUBLE SHIELDED  C3,EA,1.0,451.98,TSK,BB17-60-ZZ-C3,150.0,2026-03-20,BE00003
BPCL,bearing_ball,BPCL-000005,BRG DGB 6203 BORE 17MM  2RS  STD CLEARANCE,DOZ,25.0,5771.83,,,100.0,2022-04-14,BE00004
BPCL,bearing_ball,BPCL-000006,BRG DGB 6303 BORE 17MM  2RS1  CN,DOZ,25.0,4110.54,AXL,BB17-63-2RS-CN,12.5,2026-03-12,BE00005
BPCL,bearing_ball,BPCL-000007,BRG DGB 6012 BORE 60MM  OPEN  STEEL CAGE,EA,10.0,1104.7,,,0.0,,BE00007
BPCL,bearing_ball,BPCL-000008,BRG DGB 6000 BORE 10MM  NO SEAL  C-4,EA,1.0,520.0,,,80.0,2026-02-16,BE00008
BPCL,bearing_ball,BPCL-000009,BRG DGB 6306 BORE 30MM  2RS  C4,DOZ,1.0,10791.72,TSK,BB30-63-2RS-C4,166.67,2022-11-15,BE00009
BPCL,bearing_ball,BPCL-000010,BRG DGB 6210 BORE 50MM  UNSEALED  C4  BRASS CAGE,BOX-50,1.0,64649.37,AXL,BB50-62-OPEN-C4,0.0,,BE00012
BPCL,bearing_ball,BPCL-000011,BRG DGB 6210 BORE 50MM  NO SEAL  C-4  MACHINED BRASS,EA,5.0,1071.46,AXL,BB50-62-OPEN-C4,600.0,2025-11-09,BE00012
BPCL,bearing_ball,BPCL-000012,BRG DGB 6003 BORE 17MM  NO SEAL  C-4  STEEL CAGE,EA,1.0,443.35,TSK,BB17-60-OPEN-C4,1200.0,2021-11-22,BE00014
BPCL,bearing_ball,BPCL-000013,BRG DGB 6300 BORE 10MM  2Z,EA,1.0,409.53,BRG,BB10-63-ZZ-C3,0.0,,BE00016
BPCL,bearing_ball,BPCL-000014,BRG DGB 6300 BORE 10MM  DOUBLE SHIELDED,DOZ,25.0,5464.41,BRG,BB10-63-ZZ-C3,0.0,,BE00016
BPCL,bearing_ball,BPCL-000015,BRG DGB 6200 BORE 10MM  ZZ SHIELDED  NORMAL CLEARANCE,EA,1.0,585.14,BRG,BB10-62-ZZ-CN,0.0,,BE00017
BPCL,bearing_ball,BPCL-000016,BRG DGB 6007 BORE 35MM  NO SEAL  BRASS CAGE,DOZ,25.0,12157.77,RVN,BB35-60-OPEN-C3,100.0,2021-06-23,BE00020
BPCL,bearing_ball,BPCL-000017,BRG DGB 6204 BORE 20MM  RUBBER SEALED  NORMAL CLEARANCE,DOZ,1.0,4617.23,AXL,BB20-62-2RS-CN,0.0,,BE00021
BPCL,bearing_ball,BPCL-000018,BRG DGB 6204 BORE 20MM  DOUBLE SEALED  STD CLEARANCE  POLYAMIDE,DOZ,10.0,4539.37,AXL,BB20-62-2RS-CN,0.0,,BE00021
BPCL,bearing_ball,BPCL-000019,BRG DGB 6204 BORE 20MM  2RS1  POLYAMIDE,EA,1.0,528.22,AXL,BB20-62-2RS-CN,1200.0,2023-03-14,BE00021
BPCL,bearing_ball,BPCL-000020,BRG DGB 6205 BORE 25MM  2Z  C3  NYLON,EA,5.0,536.4,AXL,BB25-62-ZZ-C3,150.0,2026-03-10,BE00022
BPCL,bearing_ball,BPCL-000021,BRG DGB 6012 BORE 60MM  DOUBLE SEALED  STD CLEARANCE  STEEL CAGE,DOZ,1.0,14705.24,BRG,BB60-60-2RS-CN,0.0,,BE00023
BPCL,bearing_ball,BPCL-000022,BRG DGB 6007 BORE 35MM  ZZ  C3  STEEL CAGE,EA,1.0,688.01,,,600.0,2026-02-03,BE00026
BPCL,bearing_ball,BPCL-000023,BRG DGB 6007 BORE 35MM  ZZ SHIELDED  C-3  STL CAGE,DOZ,1.0,8750.37,,,12.5,2025-08-15,BE00026
BPCL,bearing_ball,BPCL-000024,BRG DGB 6007 BORE 35MM  SHLD  C3  PRESSED STEEL,DOZ,5.0,7010.56,,,166.67,2022-01-24,BE00026
BPCL,bearing_ball,BPCL-000025,BRG DGB 6003 BORE 17MM  OPEN,EA,25.0,340.87,,,300.0,2026-01-15,BE00027
BPCL,bearing_ball,BPCL-000026,BRG DGB 6310 BORE 50MM  NO SEAL  C-4,DOZ,10.0,9454.97,TSK,BB50-63-OPEN-C4,166.67,2021-08-17,BE00028
BPCL,bearing_ball,BPCL-000027,BRG DGB 6310 BORE 50MM  OPEN  C-4,EA,1.0,738.62,TSK,BB50-63-OPEN-C4,400.0,2021-08-27,BE00028
BPCL,bearing_ball,BPCL-000028,BRG DGB 6209 BORE 45MM  SHLD  PA66,EA,1.0,963.9,,,1200.0,2021-10-26,BE00029
BPCL,bearing_ball,BPCL-000029,BRG DGB 6209 BORE 45MM  METAL SHIELDED  CLR C3,DOZ,1.0,12335.71,,,0.0,,BE00029
BPCL,bearing_ball,BPCL-000030,BRG DGB 6005 BORE 25MM  ZZ SHIELDED  MACHINED BRASS,EA,1.0,764.88,,,40.0,2025-09-26,BE00030
BPCL,bearing_ball,BPCL-000031,BRG DGB 6301 BORE 12MM  NO SEAL  C-4,EA,1.0,459.57,TSK,BB12-63-OPEN-C4,2000.0,2023-02-19,BE00031
BPCL,bearing_ball,BPCL-000032,BRG DGB 6210 BORE 50MM  RUBBER SEALED  STD CLEARANCE,EA,1.0,841.23,AXL,BB50-62-2RS-CN,40.0,2026-02-04,BE00033
BPCL,bearing_ball,BPCL-000033,BRG DGB 6008 BORE 40MM  NO SEAL  C3,DOZ,1.0,9805.66,TSK,BB40-60-OPEN-C3,0.0,,BE00034
BPCL,bearing_ball,BPCL-000034,BRG DGB 6005 BORE 25MM  NO SEAL  BRS CAGE,BOX-50,1.0,28335.93,RVN,BB25-60-OPEN-C3,40.0,2022-03-26,BE00036
BPCL,bearing_ball,BPCL-000035,BRG DGB 6004 BORE 20MM  DOUBLE SHIELDED  C3,EA,1.0,538.67,RVN,BB20-60-ZZ-C3,800.0,2023-05-11,BE00039
BPCL,bearing_ball,BPCL-000036,BRG DGB 6012 BORE 60MM  OPEN  BRASS CAGE,EA,1.0,1440.53,,,2000.0,2022-10-31,BE00040
BPCL,bearing_ball,BPCL-000037,BRG DGB 6302 BORE 15MM  UNSEALED  C3,EA,1.0,561.36,BRG,BB15-63-OPEN-C3,0.0,,BE00043
BPCL,bearing_ball,BPCL-000038,BRG DGB 6010 BORE 50MM  DOUBLE SEALED  NORMAL CLEARANCE  PA66,EA,25.0,761.65,AXL,BB50-60-2RS-CN,150.0,2025-10-14,BE00045
BPCL,bearing_ball,BPCL-000039,BRG DGB 6010 BORE 50MM  2RS  CN,EA,25.0,985.57,,,0.0,,BE00045
BPCL,bearing_ball,BPCL-000040,BRG DGB 6201 BORE 12MM  C-3,DOZ,1.0,3533.62,BRG,BB12-62-OPEN-C3,50.0,2026-02-09,BE00046
BPCL,bearing_ball,BPCL-000041,BRG DGB 6201 BORE 12MM  NO SEAL  C-3,EA,10.0,204.24,,,0.0,,BE00046
BPCL,bearing_ball,BPCL-000042,BRG DGB 6302 BORE 15MM  2RS  CN,EA,1.0,543.0,,,0.0,,BE00048
BPCL,bearing_ball,BPCL-000043,BRG DGB 6201 BORE 12MM  UNSEALED  C-4  PRESSED STEEL,EA,1.0,299.31,BRG,BB12-62-OPEN-C4,0.0,,BE00050
BPCL,bearing_ball,BPCL-000044,BRG DGB 6002 BORE 15MM  UNSEALED  C-4,EA,5.0,640.96,,,150.0,2025-12-01,BE00051
BPCL,bearing_ball,BPCL-000045,BRG DGB 6207 BORE 35MM  NO SEAL  NYLON,DOZ,25.0,9265.85,,,50.0,2026-03-10,BE00052
BPCL,bearing_ball,BPCL-000046,BRG DGB 6010 BORE 50MM  ZZ  MACHINED BRASS,DOZ,1.0,14527.04,RVN,BB50-60-ZZ-C3,0.0,,BE00053
