file,kind,organisation,family,house_style,rows,columns,size_kb,distinct_identities,identities_with_2plus_codes_here,codes_per_identity_mean,pct_with_manufacturer_and_mpn,pct_with_unit_price,distinct_uom,pct_with_stock_on_hand,unique_descriptions,verbatim_duplicate_descriptions,pct_attributes_unknown_after_extraction,po_lines,po_date_from,po_date_to,po_spend_inr,distinct_vendors,distinct_plants,notes
BPCL__bearing_ball.csv,material master (simulated),BPCL,bearing_ball,Heavily abbreviated,276,9,26.4,192,61,1.44,56.5,100.0,3,62.7,274,2,24.4,,,,,,,Bharat Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
BPCL__gasket_spiral_wound.csv,material master (simulated),BPCL,gasket_spiral_wound,Heavily abbreviated,1145,9,136.3,944,176,1.21,54.5,100.0,3,66.6,1144,1,17.8,,,,,,,Bharat Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
BPCL__hex_bolt.csv,material master (simulated),BPCL,hex_bolt,Heavily abbreviated,2281,9,239.3,1656,465,1.38,54.9,100.0,5,65.5,2256,25,24.4,,,,,,,Bharat Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
BPCL__valve_ball.csv,material master (simulated),BPCL,valve_ball,Heavily abbreviated,941,9,110.9,819,104,1.15,57.4,100.0,1,61.7,940,1,18.1,,,,,,,Bharat Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
CPCL__bearing_ball.csv,material master (simulated),CPCL,bearing_ball,Terse capitals,284,9,28.2,199,60,1.43,54.6,100.0,3,65.5,277,7,24.5,,,,,,,Chennai Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
CPCL__gasket_spiral_wound.csv,material master (simulated),CPCL,gasket_spiral_wound,Terse capitals,1139,9,135.4,952,156,1.20,52.8,100.0,3,67.1,1135,4,18.3,,,,,,,Chennai Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
CPCL__hex_bolt.csv,material master (simulated),CPCL,hex_bolt,Terse capitals,2263,9,226.4,1593,500,1.42,53.0,100.0,5,65.7,2241,22,25.1,,,,,,,Chennai Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
CPCL__valve_ball.csv,material master (simulated),CPCL,valve_ball,Terse capitals,931,9,115.8,819,102,1.14,55.2,100.0,1,65.6,930,1,18.9,,,,,,,Chennai Petroleum Corporation Limited (simulated); every vendor and plant marked (sim)
IOCL__bearing_ball.csv,material master (simulated),IOCL,bearing_ball,Verbose title case,277,9,34.1,193,64,1.44,56.0,100.0,3,67.5,274,3,24.7,,,,,,,Indian Oil Corporation Limited (simulated); every vendor and plant marked (sim)
IOCL__gasket_spiral_wound.csv,material master (simulated),IOCL,gasket_spiral_wound,Verbose title case,1156,9,184.0,957,172,1.21,55.2,100.0,3,66.8,1155,1,17.6,,,,,,,Indian Oil Corporation Limited (simulated); every vendor and plant marked (sim)
IOCL__hex_bolt.csv,material master (simulated),IOCL,hex_bolt,Verbose title case,2357,9,304.8,1643,516,1.43,55.0,100.0,5,64.5,2339,18,24.7,,,,,,,Indian Oil Corporation Limited (simulated); every vendor and plant marked (sim)
IOCL__valve_ball.csv,material master (simulated),IOCL,valve_ball,Verbose title case,919,9,138.4,793,110,1.16,53.9,100.0,1,66.6,919,0,19.2,,,,,,,Indian Oil Corporation Limited (simulated); every vendor and plant marked (sim)
NTPC__bearing_ball.csv,material master (simulated),NTPC,bearing_ball,Semicolon-delimited attribute list,286,9,33.7,208,58,1.38,51.7,100.0,3,67.5,283,3,25.8,,,,,,,NTPC Limited (simulated); every vendor and plant marked (sim)
NTPC__gasket_spiral_wound.csv,material master (simulated),NTPC,gasket_spiral_wound,Semicolon-delimited attribute list,1093,9,152.8,913,148,1.20,55.3,100.0,3,65.5,1093,0,17.4,,,,,,,NTPC Limited (simulated); every vendor and plant marked (sim)
NTPC__hex_bolt.csv,material master (simulated),NTPC,hex_bolt,Semicolon-delimited attribute list,2319,9,271.1,1618,519,1.43,53.3,100.0,5,63.8,2300,19,24.8,,,,,,,NTPC Limited (simulated); every vendor and plant marked (sim)
NTPC__valve_ball.csv,material master (simulated),NTPC,valve_ball,Semicolon-delimited attribute list,944,9,126.4,828,105,1.14,55.1,100.0,1,66.3,943,1,19.0,,,,,,,NTPC Limited (simulated); every vendor and plant marked (sim)
BPCL_procurement.csv,procurement history (simulated),BPCL,,,10334,11,1284.5,,,,,,,,,,,10334,2022-04-01,2026-03-31,2062385244,6,2,"PO lines keyed to source_code; prices in issue units, normalised to base units on import"
CPCL_procurement.csv,procurement history (simulated),CPCL,,,10426,11,1296.8,,,,,,,,,,,10426,2022-04-01,2026-03-31,2311774795,6,2,"PO lines keyed to source_code; prices in issue units, normalised to base units on import"
IOCL_procurement.csv,procurement history (simulated),IOCL,,,10360,11,1289.2,,,,,,,,,,,10360,2022-04-01,2026-03-31,2343020608,6,3,"PO lines keyed to source_code; prices in issue units, normalised to base units on import"
NTPC_procurement.csv,procurement history (simulated),NTPC,,,10326,11,1284.7,,,,,,,,,,,10326,2022-04-01,2026-03-31,2211395797,6,3,"PO lines keyed to source_code; prices in issue units, normalised to base units on import"
labels.csv,ground truth,,,,18611,3,472.6,5724,,,,,,,,,,,,,,,,truth_identity per source code; held out from the matcher and read only by the evaluation harness; 4 demo fixtures excluded from scoring
taxonomy/unspsc.xlsx,classification backbone (public),,,,,,458.2,,,,,,,,,,,,,,,,,UNSPSC codeset; each family declares its class (e.g. 31161600 bolts) and the national code carries it
dictionaries/column_aliases.yaml,dictionary (authored),,,,62,,2.6,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/evaluation.yaml,dictionary (authored),,,,124,,7.6,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/families/bearing_ball.yaml,dictionary (authored),,bearing_ball,,251,,8.6,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/families/gasket_spiral_wound.yaml,dictionary (authored),,gasket_spiral_wound,,298,,10.9,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/families/hex_bolt.yaml,dictionary (authored),,hex_bolt,,356,,13.8,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/families/valve_ball.yaml,dictionary (authored),,valve_ball,,283,,9.3,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/governance.yaml,dictionary (authored),,,,61,,2.6,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/house_styles.yaml,dictionary (authored),,,,43,,1.3,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/national_code.yaml,dictionary (authored),,,,39,,2.2,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
dictionaries/units.yaml,dictionary (authored),,,,58,,2.4,,,,,,,,,,,,,,,,,"declared, versioned, read at start-up; families, units, gates, house styles, thresholds"
TOTAL material masters,,,,,18611,,,5724,3316,,,,,,,108,22.0,41446,,,8928576445,,,4 simulated CPSEs x 4 material families; within-CPSE duplicates counted per file
