source_code,description,uom,quantity,unit_price,manufacturer,mfr_part_no,stock_on_hand,last_issue_date
BPCL-900101,BLT HEX HD M10X40MM  GRADE 8.8  DIN 933  ZINC PLATED,BOX-100,1.0,930.00,,,42,2025-06-12
BPCL-900102,BLT HEX HD M10X40MM  8.8  DIN933  ZP,EA,1.0,9.45,Trident Bolt & Nut Co (sim),HB10040088,1150,2025-08-02
BPCL-900103,BLT HEX HD M10X40MM  8.8  DIN 933  HDG,BOX-100,1.0,1010.00,,,18,2025-05-30
BPCL-900104,BLT HEX HD M8X30MM  STAINLESS A2-70  ISO 4017  ZINC PLATED,BOX-50,1.0,690.00,,,26,2025-07-19
BPCL-900105,BLT HEX HD M8X30MM  SS316 A4-70  ISO 4017  ZINC PLATED,BOX-50,1.0,905.00,,,9,2025-04-08
BPCL-900106,BLT HEX HD M12X60MM  ISO 4014  HOT DIP GALVANISED,C,1.0,1180.00,,,7,2024-11-21
BPCL-900107,BLT HEX HD M12X60MM  PC10.9  ISO 4014  HOT DIP GALVANISED,EA,1.0,12.35,,,640,2025-09-01
BPCL-900108,BLT HEX HD M16X70MM  A4-70  ISO 4017  PASSIVATED,DOZ,1.0,245.00,Anvil Fastener Works (sim),HB16070A470,96,2025-08-14
BPCL-900109,BLT HEX HD M16X70MM  SS316 A4 70  PICKLED AND PASSIVATED,EA,1.0,21.10,Anvil Fastener Works (sim),HB16070A470,430,2025-07-03
BPCL-900110,BLT HEX HD M20X100MM  GR 12.9  DIN 931  SELF COLOUR,EA,1.0,17.95,,,210,2025-03-27
BPCL-900111,BLT HEX HD M20X100MM  12.9  ISO 4014  PLAIN,C,1.0,1845.00,,,12,2025-06-05
BPCL-900112,BLT HEX HD M24X120MM  GRADE 8.8  ISO 4017  GALVANISED,EA,1.0,24.60,Kestrel Industrial Supply (sim),HB24120088,64,2025-02-18
BPCL-900113,BLT HEX HD M6X20MM  A2-70  DIN 933  PASSIVATED,BOX-500,1.0,6150.00,,,5,2023-10-09
BPCL-900114,BLT HEX HD M16X70MM  A4-70  ISO 4017  PASSIVATED,BOX-100,1.0,2050.00,,,33,2025-07-28
