MATNR,MAKTX,MEINS,MENGE,NETPR,MFR,MFRPN,LABST,Last Goods Issue
IOCL-900201,"Bearing, Deep Groove Ball, 6205, Bore 25mm  2RS  Clearance C3  Steel Cage",EA,1.0,498.00,Bearcat Rolling Elements (sim),BB6205C3,86,2025-08-21
IOCL-900202,"Bearing, Deep Groove Ball, 6205, Bore 25mm  Rubber Sealed  Clearance C-3  Pressed Steel",BOX-50,1.0,24200.00,,,4,2025-05-16
IOCL-900203,"Bearing, Deep Groove Ball, 6305, Bore 25mm  2RS  Clearance C3  Steel Cage",EA,1.0,742.00,,,31,2025-07-04
IOCL-900204,"Bearing, Deep Groove Ball, 6205, Bore 25mm  2RS  Clearance CN  Steel Cage",EA,1.0,476.00,,,52,2025-06-27
IOCL-900205,"Bearing, Deep Groove Ball, 6205, Bore 25mm  ZZ  Clearance C3  Steel Cage",EA,1.0,441.00,,,120,2025-09-02
IOCL-900206,"Bearing, Deep Groove Ball, 6206, Bore 30mm  ZZ  Steel Cage",EA,1.0,528.00,,,44,2025-04-11
IOCL-900207,"Bearing, Deep Groove Ball, 6206, Bore 30mm  Metal Shielded  Clearance CN  Steel Cage",EA,1.0,534.00,Axleworks Bearings (sim),BB6206ZZ,27,2025-08-09
IOCL-900208,"Bearing, Deep Groove Ball, 6206, Bore 30mm  Shld  Clearance CN  Brass Cage",EA,1.0,748.00,Axleworks Bearings (sim),BB6206ZZ,15,2025-07-15
IOCL-900209,"Bearing, Deep Groove Ball, 6004, Bore 20mm  Open  Clearance CN  Steel Cage",DOZ,1.0,4440.00,,,9,2024-09-30
IOCL-900210,"Bearing, Deep Groove Ball, 6307, Bore 35mm  2RS  Clearance C4  Machined Brass",EA,1.0,868.00,Ravenna Motion Components (sim),BB6307C4,6,2025-03-19
IOCL-900211,"Bearing, Deep Groove Ball, 6307, Bore 35mm  Double Sealed  Clearance C-4  Brass Cage",EA,1.0,879.00,,,3,2025-01-23
IOCL-900212,"Bearing, Deep Groove Ball, 6205, Bore 25mm  2RS  Clearance C3",EA,1.0,505.00,,,64,2025-08-30
