source_code,description,uom,quantity,unit_price,manufacturer,mfr_part_no
HPCL-000001,"BOLT HEXAGON HEAD, 8MM DIA X 16MM LONG, 10.9, DIN933, Zinc Plated",BOX-100,1.0,3850.0,,
HPCL-000002,"BOLT HEXAGON HEAD, 16MM DIA X 50MM LONG, 10.9, IS1364, Passivated",BOX-100,1.0,3850.0,,
HPCL-000003,"BOLT HEXAGON HEAD, 8MM DIA X 60MM LONG, 10.9, ISO4017, Hot Dip Galvanised",BOX-100,1.0,3850.0,,
HPCL-000004,"BOLT HEXAGON HEAD, 16MM DIA X 70MM LONG, A4-70, ISO4017, Zinc Plated",BOX-100,1.0,3850.0,,
HPCL-000005,"BOLT HEXAGON HEAD, 8MM DIA X 60MM LONG, 10.9, ISO4017, Passivated",BOX-100,1.0,3850.0,,
HPCL-000006,"BOLT HEXAGON HEAD, 10MM DIA X 120MM LONG, 12.9, DIN933, Zinc Plated",BOX-100,1.0,3850.0,,
HPCL-000007,"BOLT HEXAGON HEAD, 6MM DIA X 20MM LONG, A4-70, DIN931, Passivated",BOX-100,1.0,3850.0,,
HPCL-000008,"BOLT HEXAGON HEAD, 12MM DIA X 70MM LONG, 8.8, ISO4014, Hot Dip Galvanised",BOX-100,1.0,3850.0,,
HPCL-000009,"BOLT HEXAGON HEAD, 12MM DIA X 25MM LONG, A2-70, ISO4014, Passivated",BOX-100,1.0,3850.0,,
HPCL-000010,"BOLT HEXAGON HEAD, 6MM DIA X 20MM LONG, 10.9, DIN931, Passivated",BOX-100,1.0,3850.0,,
HPCL-000011,"BOLT HEXAGON HEAD, 16MM DIA X 40MM LONG, 8.8, DIN933, Hot Dip Galvanised",BOX-100,1.0,3850.0,,
HPCL-000012,"BOLT HEXAGON HEAD, 10MM DIA X 25MM LONG, 12.9, DIN931, Plain",BOX-100,1.0,3850.0,,
HPCL-000013,"BOLT HEXAGON HEAD, 16MM DIA X 120MM LONG, A4-70, ISO4014, Hot Dip Galvanised",BOX-100,1.0,3850.0,,
HPCL-000014,"BOLT HEXAGON HEAD, 10MM DIA X 90MM LONG, A2-70, ISO4017, Hot Dip Galvanised",BOX-100,1.0,3850.0,,
HPCL-000015,"BOLT HEXAGON HEAD, 16MM DIA X 80MM LONG, A2-70, ISO4014, Plain",EA,1,42.75,,
HPCL-000016,"BOLT HEXAGON HEAD, 20MM DIA X 100MM LONG, 12.9, DIN931, Hot Dip Galvanised",EA,1,96.0,,
HPCL-000017,"BOLT HEXAGON HEAD, 12MM DIA X 60MM LONG, ISO4017, Zinc Plated",C,1,2280.0,,
HPCL-000018,"BOLT HEXAGON HEAD, 10MM DIA X 40MM LONG, A4-70, ISO4014",EA,1,27.9,,
HPCL-000019,"BOLT HEXAGON HEAD, 16MM DIA X 50MM LONG, 10.9, IS1364, Passivated",DOZ,1,402.0,Sundram Fasteners Ltd,HB16050109
